domain_name, #action, #predicate, #modified_predicates, #pal_tuples_fixed, #queries_total, #agent_failed, #repeated_queries, #unique_queries, #model_similarity, #time_elapsed, pal_tuple
logistics,13,10,18,38,47,21,12,35,0.45238095238095233,0.12657403945922852,('unload-airplane-1', 'in-2|0|1', <Location.PRECOND: 1>),
logistics,13,10,18,39,49,21,14,35,0.4642857142857143,0.1267397403717041,('unload-airplane-1', 'at-1|0|2', <Location.PRECOND: 1>),
logistics,13,10,18,40,49,21,14,35,0.47619047619047616,0.12685751914978027,('unload-airplane-1', 'at-1|0|2', <Location.EFFECTS: 2>),
logistics,13,10,18,41,49,21,14,35,0.48809523809523814,0.12691688537597656,('unload-airplane-1', 'in-2|0|1', <Location.EFFECTS: 2>),
logistics,13,10,18,42,49,21,14,35,0.5,0.12697291374206543,('unload-airplane-1', 'at-5|1|2', <Location.EFFECTS: 2>),
logistics,13,10,18,43,53,23,14,39,0.5119047619047619,0.14428019523620605,('unload-airplane-2', 'at-6|1|2', <Location.PRECOND: 1>),
logistics,13,10,18,44,54,24,14,40,0.5238095238095238,0.14449644088745117,('unload-airplane-2', 'in-2|0|1', <Location.PRECOND: 1>),
logistics,13,10,18,45,56,24,16,40,0.5357142857142857,0.14466238021850586,('unload-airplane-2', 'at-2|0|2', <Location.PRECOND: 1>),
logistics,13,10,18,46,56,24,16,40,0.5476190476190477,0.14472317695617676,('unload-airplane-2', 'at-2|0|2', <Location.EFFECTS: 2>),
logistics,13,10,18,47,56,24,16,40,0.5595238095238095,0.14477992057800293,('unload-airplane-2', 'in-2|0|1', <Location.EFFECTS: 2>),
logistics,13,10,18,48,56,24,16,40,0.5714285714285714,0.1448349952697754,('unload-airplane-2', 'at-6|1|2', <Location.EFFECTS: 2>),
logistics,13,10,18,49,59,26,16,43,0.5833333333333333,0.16176700592041016,('drive-truck-1', 'in-city-1|1|3', <Location.PRECOND: 1>),
logistics,13,10,18,50,60,27,16,44,0.5952380952380952,0.16193413734436035,('drive-truck-1', 'in-city-1|2|3', <Location.PRECOND: 1>),
logistics,13,10,18,51,61,28,16,45,0.6071428571428572,0.16209840774536133,('drive-truck-1', 'at-3|0|1', <Location.PRECOND: 1>),
logistics,13,10,18,52,64,28,18,46,0.6190476190476191,0.16255426406860352,('drive-truck-1', 'at-3|0|2', <Location.PRECOND: 1>),
logistics,13,10,18,53,64,28,18,46,0.6309523809523809,0.16261601448059082,('drive-truck-1', 'at-3|0|2', <Location.EFFECTS: 2>),
logistics,13,10,18,54,64,28,18,46,0.6428571428571428,0.1626741886138916,('drive-truck-1', 'at-3|0|1', <Location.EFFECTS: 2>),
logistics,13,10,18,55,64,28,18,46,0.6547619047619048,0.16272974014282227,('drive-truck-1', 'in-city-1|2|3', <Location.EFFECTS: 2>),
logistics,13,10,18,56,64,28,18,46,0.6666666666666667,0.16278624534606934,('drive-truck-1', 'in-city-1|1|3', <Location.EFFECTS: 2>),
logistics,13,10,18,57,67,30,18,49,0.6785714285714286,0.1798107624053955,('drive-truck-2', 'in-city-1|1|3', <Location.PRECOND: 1>),
logistics,13,10,18,58,68,31,18,50,0.6904761904761905,0.18003034591674805,('drive-truck-2', 'in-city-2|2|3', <Location.PRECOND: 1>),
logistics,13,10,18,59,69,32,18,51,0.7023809523809523,0.18020105361938477,('drive-truck-2', 'at-3|0|1', <Location.PRECOND: 1>),
logistics,13,10,18,60,72,32,20,52,0.7142857142857143,0.18067097663879395,('drive-truck-2', 'at-4|0|2', <Location.PRECOND: 1>),
logistics,13,10,18,61,72,32,20,52,0.7261904761904762,0.18073415756225586,('drive-truck-2', 'at-4|0|2', <Location.EFFECTS: 2>),
logistics,13,10,18,62,72,32,20,52,0.7380952380952381,0.18079304695129395,('drive-truck-2', 'at-3|0|1', <Location.EFFECTS: 2>),
logistics,13,10,18,63,72,32,20,52,0.75,0.18084979057312012,('drive-truck-2', 'in-city-1|1|3', <Location.EFFECTS: 2>),
logistics,13,10,18,64,72,32,20,52,0.7619047619047619,0.18091034889221191,('drive-truck-2', 'in-city-2|2|3', <Location.EFFECTS: 2>),
logistics,13,10,18,65,75,34,20,55,0.7738095238095238,0.19865870475769043,('drive-truck-3', 'in-city-1|2|3', <Location.PRECOND: 1>),
logistics,13,10,18,66,76,35,20,56,0.7857142857142857,0.19883394241333008,('drive-truck-3', 'in-city-2|1|3', <Location.PRECOND: 1>),
logistics,13,10,18,67,78,36,20,58,0.7976190476190477,0.19930410385131836,('drive-truck-3', 'at-4|0|1', <Location.PRECOND: 1>),
logistics,13,10,18,68,80,36,22,58,0.8095238095238095,0.19947075843811035,('drive-truck-3', 'at-3|0|2', <Location.PRECOND: 1>),
logistics,13,10,18,69,80,36,22,58,0.8214285714285714,0.19953346252441406,('drive-truck-3', 'at-3|0|2', <Location.EFFECTS: 2>),
logistics,13,10,18,70,80,36,22,58,0.8333333333333334,0.19959211349487305,('drive-truck-3', 'at-4|0|1', <Location.EFFECTS: 2>),
logistics,13,10,18,71,80,36,22,58,0.8452380952380952,0.19964957237243652,('drive-truck-3', 'in-city-2|1|3', <Location.EFFECTS: 2>),
logistics,13,10,18,72,80,36,22,58,0.8571428571428572,0.1997065544128418,('drive-truck-3', 'in-city-1|2|3', <Location.EFFECTS: 2>),
logistics,13,10,18,73,83,38,22,61,0.8690476190476191,0.21773505210876465,('drive-truck-4', 'in-city-2|1|3', <Location.PRECOND: 1>),
logistics,13,10,18,74,84,39,22,62,0.8809523809523809,0.21790838241577148,('drive-truck-4', 'in-city-2|2|3', <Location.PRECOND: 1>),
logistics,13,10,18,75,85,40,22,63,0.8928571428571429,0.2180783748626709,('drive-truck-4', 'at-4|0|1', <Location.PRECOND: 1>),
logistics,13,10,18,76,88,40,24,64,0.9047619047619048,0.21854448318481445,('drive-truck-4', 'at-4|0|2', <Location.PRECOND: 1>),
logistics,13,10,18,77,88,40,24,64,0.9166666666666666,0.2186117172241211,('drive-truck-4', 'at-4|0|2', <Location.EFFECTS: 2>),
logistics,13,10,18,78,88,40,24,64,0.9285714285714286,0.2186720371246338,('drive-truck-4', 'at-4|0|1', <Location.EFFECTS: 2>),
logistics,13,10,18,79,88,40,24,64,0.9404761904761905,0.21872949600219727,('drive-truck-4', 'in-city-2|2|3', <Location.EFFECTS: 2>),
logistics,13,10,18,80,88,40,24,64,0.9523809523809523,0.21878719329833984,('drive-truck-4', 'in-city-2|1|3', <Location.EFFECTS: 2>),
logistics,13,10,18,81,91,42,24,67,0.9642857142857143,0.23707199096679688,('fly-airplane', 'at-5|0|1', <Location.PRECOND: 1>),
logistics,13,10,18,82,94,42,26,68,0.9761904761904762,0.23746013641357422,('fly-airplane', 'at-5|0|2', <Location.PRECOND: 1>),
logistics,13,10,18,83,94,42,26,68,0.9880952380952381,0.23752617835998535,('fly-airplane', 'at-5|0|2', <Location.EFFECTS: 2>),
logistics,13,10,18,84,94,42,26,68,1.0,0.23758769035339355,('fly-airplane', 'at-5|0|1', <Location.EFFECTS: 2>),
