parking , 40 , 0.18 , 0.68 , 0.75 , 0.86 , 0.73 , 0.89 , 0.88 , 0.78 , 0.77 , 0.84, 7.13
parking , 41 , 0.17 , 0.68 , 0.75 , 0.86 , 0.73 , 0.89 , 0.88 , 0.78 , 0.77 , 0.84, 7.12
parking , 42 , 0.17 , 0.68 , 0.75 , 0.86 , 0.73 , 0.89 , 0.88 , 0.78 , 0.77 , 0.84, 7.22
parking , 43 , 0.17 , 0.68 , 0.75 , 0.86 , 0.73 , 0.89 , 0.88 , 0.78 , 0.77 , 0.84, 7.2
parking , 44 , 0.16 , 0.68 , 0.75 , 0.86 , 0.73 , 0.89 , 0.88 , 0.78 , 0.77 , 0.84, 7.24
parking , 45 , 0.16 , 0.68 , 0.75 , 0.86 , 0.73 , 0.89 , 0.88 , 0.78 , 0.77 , 0.84, 7.15
parking , 46 , 0.16 , 0.68 , 0.75 , 0.86 , 0.73 , 0.89 , 0.88 , 0.78 , 0.77 , 0.84, 7.19
parking , 47 , 0.15 , 0.68 , 0.75 , 0.86 , 0.73 , 0.89 , 0.88 , 0.78 , 0.77 , 0.84, 7.11
parking , 48 , 0.15 , 0.68 , 0.75 , 0.86 , 0.73 , 0.89 , 0.88 , 0.78 , 0.77 , 0.84, 7.14
parking , 49 , 0.15 , 0.68 , 0.75 , 0.86 , 0.73 , 0.89 , 0.88 , 0.78 , 0.77 , 0.84, 7.16
parking , 50 , 0.14 , 0.68 , 0.75 , 0.86 , 0.73 , 0.89 , 0.88 , 0.78 , 0.77 , 0.84, 7.17
