blocks , 39 , 4.54 , 0.7 , 0.9 , 1.0 , 0.8 , 0.89 , 1.0 , 0.44 , 0.88 , 0.78, 176.93
blocks , 40 , 1.35 , 0.66 , 1.0 , 0.89 , 0.78 , 0.78 , 1.0 , 0.44 , 0.9 , 0.7, 54.1
blocks , 41 , 0.38 , 0.73 , 0.9 , 1.0 , 0.78 , 0.78 , 1.0 , 0.67 , 0.88 , 0.81, 15.43
blocks , 42 , 13.42 , 0.76 , 1.0 , 1.0 , 0.8 , 0.89 , 1.0 , 0.56 , 0.92 , 0.81, 563.79
blocks , 43 , 9.84 , 0.66 , 1.0 , 0.89 , 0.78 , 0.78 , 1.0 , 0.44 , 0.9 , 0.7, 422.94
blocks , 44 , 12.24 , 0.63 , 0.9 , 1.0 , 0.67 , 0.89 , 1.0 , 0.33 , 0.8 , 0.74, 538.55
blocks , 45 , 8.15 , 0.64 , 1.0 , 0.89 , 0.88 , 0.78 , 1.0 , 0.33 , 0.95 , 0.67, 366.63
blocks , 46 , 8.93 , 0.55 , 0.88 , 0.78 , 0.75 , 0.67 , 0.8 , 0.44 , 0.81 , 0.63, 410.74
blocks , 47 , 4.51 , 0.89 , 1.0 , 1.0 , 0.89 , 0.89 , 1.0 , 0.89 , 0.96 , 0.93, 212.11
blocks , 48 , 6.4 , 0.72 , 0.9 , 1.0 , 0.64 , 0.78 , 1.0 , 0.78 , 0.82 , 0.85, 307.34
blocks , 49 , 4.72 , 0.74 , 1.0 , 1.0 , 0.67 , 0.89 , 1.0 , 0.67 , 0.85 , 0.85, 231.05
blocks , 50 , 7.0 , 0.63 , 0.89 , 0.89 , 0.78 , 0.78 , 1.0 , 0.44 , 0.86 , 0.7, 350.22
