satellite , 1 , 0.11 , 0.61 , 0.76 , 0.93 , 0.67 , 0.4 , 1.0 , 0.5 , 0.77 , 0.74, 0.11
satellite , 2 , 0.06 , 0.62 , 0.78 , 1.0 , 0.75 , 0.6 , 0.5 , 0.25 , 0.75 , 0.78, 0.13
satellite , 3 , 0.04 , 0.59 , 0.76 , 0.93 , 0.75 , 0.6 , 0.5 , 0.25 , 0.74 , 0.74, 0.11
satellite , 4 , 0.03 , 0.63 , 0.87 , 0.93 , 0.75 , 0.6 , 0.5 , 0.25 , 0.81 , 0.74, 0.13
satellite , 5 , 0.03 , 0.67 , 0.93 , 0.93 , 0.5 , 0.6 , 1.0 , 0.5 , 0.82 , 0.78, 0.14
satellite , 6 , 0.02 , 0.59 , 0.85 , 0.79 , 0.57 , 0.8 , 0.67 , 0.5 , 0.74 , 0.74, 0.14
satellite , 7 , 0.02 , 0.44 , 0.75 , 0.64 , 0.4 , 0.8 , 0.5 , 0.5 , 0.58 , 0.65, 0.14
satellite , 8 , 0.02 , 0.56 , 0.92 , 0.86 , 0.36 , 0.8 , 0.67 , 0.5 , 0.67 , 0.78, 0.19
satellite , 9 , 0.02 , 0.58 , 0.92 , 0.86 , 0.4 , 0.8 , 0.67 , 0.5 , 0.69 , 0.78, 0.19
satellite , 10 , 0.02 , 0.5 , 0.86 , 0.86 , 0.25 , 0.6 , 1.0 , 0.5 , 0.61 , 0.74, 0.21
satellite , 11 , 0.02 , 0.7 , 0.93 , 1.0 , 0.5 , 0.6 , 1.0 , 0.5 , 0.83 , 0.83, 0.22
satellite , 12 , 0.02 , 0.78 , 0.93 , 1.0 , 0.57 , 0.8 , 1.0 , 0.75 , 0.84 , 0.91, 0.28
satellite , 13 , 0.02 , 0.55 , 0.92 , 0.86 , 0.33 , 0.8 , 0.67 , 0.5 , 0.64 , 0.78, 0.29
satellite , 14 , 0.02 , 0.62 , 0.86 , 0.86 , 0.57 , 0.8 , 0.67 , 0.5 , 0.75 , 0.78, 0.34
satellite , 15 , 0.02 , 0.63 , 1.0 , 0.86 , 0.42 , 1.0 , 1.0 , 0.5 , 0.73 , 0.83, 0.3
satellite , 16 , 0.02 , 0.63 , 1.0 , 0.86 , 0.42 , 1.0 , 1.0 , 0.5 , 0.73 , 0.83, 0.35
satellite , 17 , 0.02 , 0.63 , 0.93 , 0.93 , 0.5 , 0.8 , 0.5 , 0.5 , 0.73 , 0.83, 0.37
satellite , 18 , 0.03 , 0.66 , 0.87 , 0.93 , 0.57 , 0.8 , 0.67 , 0.5 , 0.76 , 0.83, 0.46
satellite , 19 , 0.03 , 0.81 , 0.93 , 1.0 , 0.83 , 1.0 , 0.67 , 0.5 , 0.88 , 0.91, 0.62
satellite , 20 , 0.03 , 0.58 , 0.86 , 0.86 , 0.44 , 0.8 , 0.67 , 0.5 , 0.69 , 0.78, 0.56
satellite , 21 , 0.03 , 0.68 , 1.0 , 0.86 , 0.5 , 1.0 , 1.0 , 0.5 , 0.79 , 0.83, 0.62
satellite , 22 , 0.03 , 0.77 , 1.0 , 0.93 , 0.63 , 1.0 , 1.0 , 0.5 , 0.87 , 0.87, 0.77
satellite , 23 , 0.04 , 0.78 , 1.0 , 0.93 , 0.56 , 1.0 , 1.0 , 0.75 , 0.84 , 0.91, 0.94
satellite , 24 , 0.05 , 0.66 , 0.93 , 0.93 , 0.44 , 0.8 , 1.0 , 0.5 , 0.76 , 0.83, 1.18
satellite , 25 , 0.04 , 0.63 , 0.93 , 0.93 , 0.45 , 1.0 , 0.5 , 0.5 , 0.69 , 0.87, 1.01
satellite , 26 , 0.05 , 0.7 , 0.93 , 0.93 , 0.45 , 1.0 , 1.0 , 0.75 , 0.75 , 0.91, 1.26
